,x,y,target
300,-52.49223,13.976003,0
301,82.5347,19.88846,1
302,-102.46641,39.977837,0
303,22.585705,-1.963219,1
304,-40.077366,3.2094564,0
305,11.717472,-16.27908,1
306,-12.654212,-19.625795,1
307,0.29826558,-9.801726,1
308,-61.446293,8.363943,0
309,26.586067,14.951593,1
310,-29.777054,20.779179,1
311,-6.3414536,-11.134575,1
312,-45.281166,24.623753,0
313,-37.167053,-10.374035,0
314,-27.78935,-0.15180057,0
315,-14.628658,-14.258061,0
316,41.08437,16.157099,1
317,-50.290146,-3.3891687,0
318,10.509919,-26.469803,1
319,1.1663513,-10.2208805,1
320,75.658844,32.585808,1
321,5.2477455,-15.558021,1
322,5.7111015,-27.712551,1
323,-2.0901246,-8.724439,1
324,24.063547,-7.6724143,1
325,-7.4974537,-9.626453,1
326,68.94318,36.019035,1
327,18.093384,4.160779,1
328,42.044445,-1.7915835,1
329,6.490556,-16.55929,1
330,24.092045,12.9436245,1
331,-40.972393,-4.195207,0
332,9.171642,-10.333883,1
333,-36.767105,4.2747855,0
334,1.551432,-16.184538,1
335,-47.76804,15.770683,0
336,-76.188156,33.686745,0
337,-4.050857,6.756597,1
338,-14.94765,-8.715775,0
339,87.78852,38.856216,1
340,0.14082634,-12.876041,1
341,-64.03305,13.479857,0
342,21.510506,-6.847776,1
343,32.274353,11.192319,1
344,53.488617,16.9648,1
345,-1.3627045,-19.700045,1
346,-84.49167,22.21653,0
347,20.29127,-0.865322,1
348,-12.050976,-22.23069,1
349,-63.72489,28.62527,0
350,9.369482,-23.90781,1
351,55.370163,0.24706137,1
352,22.851267,5.186079,1
353,-6.590286,-5.147972,1
354,-36.70039,-9.644051,0
355,-10.893467,-4.8431735,1
356,-8.615595,-23.709827,1
357,6.813185,-15.627226,1
358,-63.872154,4.8823647,0
359,-121.6431,55.515755,0
360,33.20851,1.1056395,1
361,20.587666,-11.755901,1
362,6.200433,-22.572596,1
363,1.2428873,-20.859463,1
364,11.902345,-10.629297,1
365,31.244347,-12.328413,1
366,28.705383,1.0443236,1
367,9.802879,-6.491327,1
368,51.857117,28.179865,1
369,15.753766,-31.752464,1
370,26.718904,5.000552,1
371,3.9499,-19.72579,1
372,-33.340904,-20.484936,0
373,7.5368185,-14.473265,1
374,-12.977934,-9.231022,0
375,25.02832,-6.266468,1
376,-2.7762654,-9.528187,1
377,-40.812332,16.645672,0
378,54.789204,18.696156,1
379,13.621386,-10.184224,1
380,47.138893,15.548164,1
381,36.768723,-0.4487095,1
382,30.68715,8.341265,1
383,-9.668997,-23.982563,1
384,-84.63119,25.971199,0
385,-8.620302,-14.633096,1
386,-14.041233,-19.864414,1
387,12.197834,-20.137075,1
388,2.080841,-15.74362,1
389,17.996897,-19.788397,1
390,8.030625,-22.318634,1
391,18.445843,0.3012191,1
392,39.184685,-4.6359873,1
393,29.748663,-9.892555,1
394,39.9881,-11.353207,1
395,40.432693,23.049252,1
396,-103.321396,26.823,0
397,88.07095,4.6407022,1
398,9.562553,-8.413864,1
399,-17.588398,-19.658478,1
400,-21.869297,-8.435187,0
401,-14.7526245,-19.172,1
402,-7.81979,-23.42569,1
403,-12.216906,-21.538803,1
404,9.698986,-11.665683,1
405,53.233974,43.670387,1
406,-33.631165,-1.4112191,0
407,11.139072,-14.234972,1
408,-0.2568787,-8.495114,1
409,38.849335,-7.678385,1
410,22.916426,0.316881,1
411,-37.20749,8.417889,0
412,16.88498,-21.974854,1
413,-37.62301,7.4571066,0
414,-37.88801,-10.480677,0
415,-6.484889,-21.661037,1
416,-53.998234,13.557219,0
417,-47.53295,26.98891,0
418,27.129814,-16.284105,1
419,6.763157,-10.631535,1
420,-41.390656,4.7525635,0
421,16.649382,-13.358843,1
422,-47.19652,18.027178,0
423,-59.025337,6.5341544,0
424,24.029243,-10.2166195,1
425,-2.064479,-16.942816,1
426,-54.000145,15.721132,0
427,-20.040798,-20.162872,0
428,-60.545918,19.916672,0
429,55.552116,13.065763,1
430,34.08097,-2.6215978,1
431,-54.12487,11.8274145,0
432,14.720878,-13.254507,1
433,73.2717,26.025646,1
434,-56.858185,4.3046756,0
435,-17.388802,-16.055176,1
436,-64.658844,-1.564184,0
437,-24.265678,-12.223355,1
438,-50.835976,16.749557,0
439,-3.8600779,-19.159595,1
440,-14.438736,-23.731747,1
441,-56.314125,3.3206336,0
442,19.942392,1.2765038,1
443,-39.868046,4.115864,0
444,-28.949207,0.9651998,0
445,-17.406837,-19.711617,0
446,74.656784,33.113586,1
447,-3.8351173,-20.087189,1
448,3.7680597,-5.0149517,1
449,33.608116,14.692245,1
450,-81.19271,26.373646,0
451,64.1409,26.809708,1
452,18.365253,-17.330055,1
453,-2.3016531,-14.191629,1
454,16.087471,-8.963085,1
455,-9.879006,-22.181583,1
456,3.180029,-12.430583,1
457,-4.7236586,-17.88377,1
458,-35.850845,6.8681774,0
459,5.8231206,-12.183306,1
460,-40.09206,5.0263996,0
461,10.778902,-19.25459,1
462,5.54402,-16.287634,1
463,23.059387,7.1091447,1
464,-5.5008917,-19.81669,0
465,-14.62652,-13.190113,1
466,-16.342607,4.4916105,1
